Date,Title,ppc_Title,Tokens,Stop_tokens,Sentiment_Word,Pos_Word,Neg_Word,Zero_Word,Score
2023-11-07,"TCL, 네이버 공식 스토어 오픈...한국 시장 도전",TCL  네이버 공식 스토어 오픈   한국 시장 도전,"['네이버', '공식', '스토어', '오픈', '한국', '시장', '도전']",공식 스토어 오픈 한국 시장 도전,"오픈, 한국, 시장, 도전","오픈, 도전",,"공식, 스토어, 한국, 시장",2
2023-11-07,상생협력 확산을 위해 모인 네이버·카카오·쿠팡·당근·배민,상생협력 확산을 위해 모인 네이버 카카오 쿠팡 당근 배민,"['상생', '협력', '확산', '네이버', '카카오', '쿠팡', '당근', '배미']",상생 협력 확산 카카오 쿠팡 당근 배미,"상생, 협력, 확산, 카카오, 쿠팡, 당근","상생, 협력, 당근",,"확산, 카카오, 쿠팡, 배미",3
2023-11-07,"[단독] 동행복권, 개인정보 유출 알림 '네이버 스팸'처리 몰랐다",동행복권  개인정보 유출 알림  네이버 스팸 처리 몰랐다,"['동행', '복권', '개인', '정보', '유출', '네이버', '스팸', '처리']",동행 복권 개인 정보 유출 스팸 처리,"개인, 정보, 유출",,유출,"동행, 복권, 개인, 정보, 스팸, 처리",-1
2023-11-07,"네이버·카카오페이, 3분기에 모두 웃었다…‘페이 대결’은 아직 진행 중",네이버 카카오페이  3분기에 모두 웃었다  페이 대결 은 아직 진행 중,"['네이버', '카카오페이', '분기', '페이', '대결', '은', '진행']",카카오페이 분기 페이 대결 진행,"카카오페이, 분기, 페이, 진행",진행,,"카카오페이, 분기, 페이, 대결",1
2023-11-07,"더우드랜드X스낵스, '2023 케어베어 어드벤트캘린더' 네이버 쇼핑 라이브 성료",더우드랜드X스낵스   2023 케어베어 어드벤트캘린더  네이버 쇼핑 라이브 성료,"['더우드랜드', '스낵스', '케어', '베어', '어드벤트', '캘린더', '네이버', '쇼핑', '라이브', '성', '료']",더우드랜드 스낵스 케어 베어 어드벤트 캘린더 쇼핑 라이브 료,,,,"더우드랜드, 스낵스, 케어, 베어, 어드벤트, 캘린더, 쇼핑, 라이브, 료",0
2023-11-07,"제이숲, 7일 18시 최저가 보장 'The 보장데이' 네이버 쇼핑 라이브 진행",제이숲  7일 18시 최저가 보장  THE 보장데이  네이버 쇼핑 라이브 진행,"['제이', '숲', '최저', '보장', '보장', '데이', '네이버', '쇼핑', '라이브', '진행']",제이 숲 최저 보장 보장 데이 쇼핑 라이브 진행,"최저, 보장, 보장, 진행","보장, 보장, 진행",최저,"제이, 숲, 데이, 쇼핑, 라이브",2
2023-11-07,오퀴즈 정답 6시 '타임스프레드 가입하면 네이버페이 증정' 공개,오퀴즈 정답 6시  타임스프레드 가입하면 네이버페이 증정  공개,"['오', '퀴즈', '정답', '타임', '스프레드', '가입', '네이버페이', '증정', '공개']",오 퀴즈 정답 타임 스프레드 가입 네이버페이 증정 공개,정답,,,"오, 퀴즈, 정답, 타임, 스프레드, 가입, 네이버페이, 증정, 공개",0
2023-11-07,"네이버 웹툰 '가비지타임', 완결 기념 OST '보이넥스트도어 – Fadeaway'.......",네이버 웹툰  가비지타임   완결 기념 OST  보이넥스트도어   FADEAWAY,"['네이버', '웹툰', '가비지', '타임', '완결', '기념', '보이넥스트도어']",웹툰 가비지 타임 완결 기념 보이넥스트도어,,,,"웹툰, 가비지, 타임, 완결, 기념, 보이넥스트도어",0
2023-11-07,"다에리소프트, 네이버웹툰 '99몽', '나혼 뉴비' 게임으로 만든다",다에리소프트  네이버웹툰  99몽    나혼 뉴비  게임으로 만든다,"['다에리', '소프트', '네이버웹툰', '몽', '혼', '뉴비', '게임']",다에리 소프트 네이버웹툰 몽 혼 뉴비 게임,게임,,,"다에리, 소프트, 네이버웹툰, 몽, 혼, 뉴비, 게임",0
2023-11-07,"호신용품이 흉악범죄 도구로…네이버·쿠팡 등 9개사, '너클' 판매 중단",호신용품이 흉악범죄 도구로 네이버 쿠팡 등 9개사   너클  판매 중단,"['호신용품', '흉악', '범죄', '도구', '네이버', '쿠팡', '사', '너클', '판매', '중단']",호신용품 흉악 범죄 도구 쿠팡 사 너클 판매 중단,"흉악, 범죄, 쿠팡, 중단",,"흉악, 범죄, 중단","호신용품, 도구, 쿠팡, 사, 너클, 판매",-5
2023-11-07,"네이버·다음, '마이뉴스 동시 개편' ... 개인 취향별 뉴스서비스 강화",네이버 다음   마이뉴스 동시 개편      개인 취향별 뉴스서비스 강화,"['네이버', '다음', '마이', '뉴스', '동시', '개편', '개인', '취향', '뉴스', '서비스', '강화']",다음 마이 뉴스 동시 개편 개인 취향 뉴스 서비스 강화,"다음, 뉴스, 개편, 개인, 취향, 뉴스, 서비스, 강화","개편, 강화",,"다음, 마이, 뉴스, 동시, 개인, 취향, 뉴스, 서비스",2
2023-11-07,"[에듀플러스]용인특례시 미디어포럼 3회차 성료, 원윤식 네이버 전무 “크리에...",용인특례시 미디어포럼 3회차 성료  원윤식 네이버 전무  크리에,"['용인', '특례시', '미디어', '포럼', '회차', '성', '료', '윤식', '네이버', '전무', '크리']",용인 특례시 미디어 포럼 회차 료 윤식 전무 크리,,,,"용인, 특례시, 미디어, 포럼, 회차, 료, 윤식, 전무, 크리",0
2023-11-07,오케이(OK)캐시백 '오퀴즈'의 11월 7일 오후 6시 현재 '타임스프레드 네이버페...,오케이 OK 캐시백  오퀴즈 의 11월 7일 오후 6시 현재  타임스프레드 네이버페,"['캐시백', '오', '퀴즈', '오후', '타임', '스프레드', '네이버', '패']",캐시백 오 퀴즈 오후 타임 스프레드 패,오후,,,"캐시백, 오, 퀴즈, 오후, 타임, 스프레드, 패",0
2023-11-07,"두산아트센터, 연극 '잘못된 성장의 사례' 온라인 무료 상영",두산아트센터  연극  잘못된 성장의 사례  온라인 무료 상영,"['두산아트센터', '연극', '성장', '사례', '온라인', '무료', '상영']",두산아트센터 연극 성장 사례 온라인 무료 상영,성장,성장,,"두산아트센터, 연극, 사례, 온라인, 무료, 상영",1
2023-11-07,"[Invest]대주주적격성 위기 카카오뱅크, 매각 시 인수 가능한 곳은 네이버뿐?",대주주적격성 위기 카카오뱅크  매각 시 인수 가능한 곳은 네이버뿐,"['주주', '적격', '위기', '카카오', '뱅크', '매각', '인수', '가능', '곳', '네이버']",주주 적격 위기 카카오 뱅크 매각 인수 가능 곳,"주주, 위기, 카카오, 뱅크, 매각, 인수, 가능","인수, 가능","위기, 매각","주주, 적격, 카카오, 뱅크, 곳",1
2023-11-07,산사태에도 끄떡없는 '데이터센터'…한미글로벌의 비결은,산사태에도 끄떡없는  데이터센터  한미글로벌의 비결은,"['산사태', '데이터센터', '한미글로벌', '비결']",산사태 데이터센터 한미글로벌 비결,비결,비결,,"산사태, 데이터센터, 한미글로벌",1
2023-11-07,"톱텍 자회사 레몬, '에어퀸 숨쉬는 생리대' 8일 네이버 쇼핑라이브 진행",톱텍 자회사 레몬   에어퀸 숨쉬는 생리대  8일 네이버 쇼핑라이브 진행,"['톱', '택', '자회사', '레몬', '에어', '퀸', '숨', '생리대', '네이버', '쇼핑', '라이브', '진행']",톱 택 자회사 레몬 에어 퀸 숨 생리대 쇼핑 라이브 진행,"톱, 자회사, 진행","톱, 진행",,"택, 자회사, 레몬, 에어, 퀸, 숨, 생리대, 쇼핑, 라이브",2
2023-11-07,"에버랜드, '더현대 서울'에서 '푸바오 팝업 스토어' 운영",에버랜드   더현대 서울 에서  푸바오 팝업 스토어  운영,"['에버랜드', '현대', '서울', '푸바오', '팝업', '스토어', '운영']",에버랜드 현대 서울 푸바오 팝업 스토어 운영,팝업,팝업,,"에버랜드, 현대, 서울, 푸바오, 스토어, 운영",1
